Loc_ID,Pond,Pond_Loc
1,SPG,Dam                       SE end
2,ALM,BMI
3,ALM,SE corner
4,ALM,Arthur's Inlet
5,ALM,NULL
6,ALM,dock
7,ALM,Cove
8,ART,South Inlet
9,JIM,NULL
10,ALM,Dam -- NW Corner
11,ALM,Dam
12,ALM,Dam Cove
13,ALM,Damside
14,ALM,damside
15,ALM,sweet spot
16,ALM,Swamp Trail Inlet
17,ALM,DAM
18,ALM,Boat Launch
19,ALM,by beach
20,NULL,NE
21,NULL,E
22,SUT,far side
23,ALM,East
24,ALM,NW
25,UPR,fallen tree
26,SUT,by flat rock
27,SUT,dock
28,ART,East
29,NULL,NULL
30,ALM,Picknic rock
31,SUT,West side
32,SUT,swim
33,SPG,Damside
34,TMR,NULL
35,ALM,South End
36,ALM,Picnic Rock
37,ALM,A NW
38,SUT,swamp
39,SUT,NULL
40,SUT,North
41,SUT,NE
42,ALM,Dam Side
43,ALM,C East
44,ALM,West Side
45,ALM,Sweet Spot
46,ALM,INLET
47,ALM,INLET QUARY
48,ALM,beach
49,ALM,inlet
50,ALM,Dam NW corner
51,UPR,south cove
52,BSP,NULL
53,SUT,East
54,UPR,inlet
55,ALM,A
56,NULL,NW
57,SPG,NULL
58,TMR,NE corner
59,UPR,SW cove
60,UPR,Dam
61,ART,D
62,ART,E side
63,JIM,SE cove
64,ALM,Dam - NW corner
65,ALM,Beach
66,NULL,FOUND ON ROAD NEAR STATION ENTRANCE
67,ALM,North
68,ALM,C
69,ALM,D
70,ART,NULL
71,TAM,NULL
72,ALM,SE
73,N/A,NULL
74,NULL,Picnic Rock
75,TMR,TP
76,UPR,rusty wagon
77,SUT,boat dock
78,TAM,C
79,ALM,swamp trail inlet
80,UPR,near beach
81,UPR,by beach
82,UPR,NULL
83,SPG,Diverson
84,SUT,log near road
85,SPG,Dam                   NW end
86,SPG,SE cove
87,JIM,SE Cove
88,ART,canoe launch
89,SPG,SE co
90,SUT,Swamp
91,SUT,road
92,BS,Road
93,UPR,island
94,UPR,dam
95,UPR,S COVE
96,UPR,South End
97,UPR,INLET
98,UPR,Island
99,SUT,far side 
