Date,Turtle,Trap_Type,Species,Pit_ID,New_Recap,Sex,Age,Mass,Carapace_L,Carapace_W,Carapace_H,Plastron_L,Pond,Pond_Loc,Bait_Type,Notes,Observer
8/11/2003,1.001,bask-p,Cp,4310552857,N,M,5+,137,104,82.1,35,99.9,SPG,"Dam                       SE end",NULL,"Dorsal offset; adult Cp swimming at east end of dam                                    Migrant - in ALM 02 JUL 04",Karrmann
7/2/2004,1.002,bask-p,Cp,4310552857,R,M,W,149,109,85,36,103,ALM,BMI,NULL,"Migrant - in SPG 11 AUG 03",Karrmann
8/3/2004,1.003,bask-m,Cp,4310552857,R,M,6+,146,108,85,35,103,ALM,BMI,NULL,"DISALIGNMENT BUT NO BLOTCHING Migrant - in SPG 11 AUG 03",Karrmann
9/16/2004,1.004,bask-m,Cp,4310552857,R,M,5+,150,108,85,35,103,ALM,BMI,NULL,"Migrant - in SPG 11 AUG 03",Karrmann
8/24/2003,2.001,snrkl,Cp,4311124528,N,F,W,267,133,98,46,125,ALM,"SE corner",NULL,"small natural looking notches on L11-12; mass originally recorded as 297 g",Karrmann
8/7/2004,2.002,snrkl,Cp,4311124528,R,F,W,267,133,98,45,124,ALM,BMI,NULL,"RC-2 ABRADED- LC2-3 SCRAPED BY TOOTH - NOT SHED",Karrmann
9/16/2004,2.003,bask-p,Cp,4311124528,R,F,W,268,132,97,45,124,ALM,BMI,NULL,"Malformed V3-4; Pre-shed",Karrmann
9/26/2004,2.004,bask-p,Cp,4311124528,R,F,W,268,132,98,45,123,ALM,BMI,NULL,shedding,Karrmann
9/28/2002,3.001,bask-p,Cp,4315311868,N,F,W,287,129,94,49,122,ALM,BMI,NULL,"pit added 02 JUN 03",Karrmann
5/10/2003,3.002,bask-p,Cp,4315311868,R,F,W,264,129,98,53,123,ALM,"Arthur's Inlet",NULL,NULL,Karrmann
7/22/2006,3.003,Hoop,Cp,4315311868,R,F,W,327,140,103,50,132,ALM,NULL,NULL,NULL,"WS - Team 2"
8/29/2006,3.004,Hoop,Cp,4315311868,R,F,NULL,370,137,101,50,130,ALM,NULL,NULL,RAINING,ws
8/24/2003,4.001,snrkl,Cp,4315371352,N,F,7+,312,131,102,47,123,ALM,"SE corner",NULL,"leech removed sent to Siddall's lab",Karrmann
6/10/2011,5.001,Hoop,Cp,4315387901,R,F,5+,314,132,103,46,124,ALM,dock,NULL,"notches may just be broken parts","RC- KP- SG"
7/25/2003,6.001,Hoop,Cp,4315562674,N,M,W,243,127,96,39,119,ALM,BMI,NULL,NULL,Karrmann
8/5/2008,6.002,Hoop,Cp,4315562674,R,M,A,250,129,96,40,120,ALM,Cove,NULL,NULL,NULL
5/25/2010,6.003,Hoop,Cp,4315562674,R,NULL,NULL,247,127,97,40,118,ALM,Cove,NULL,NULL,"NYU-ECE w/ MM"
8/3/2003,7.001,bask-p,Cp,4315566217,NULL,M,7+,158,109,85,37,103,ART,"South Inlet",NULL,"Ramp damaged- pushed up on top of hoop post",Karrmann
7/24/2013,7.002,Hoop,Cp,4315566217,R,M,NULL,334,140,100,45,130,JIM,NULL,NULL,NULL,Falk/Florio
6/13/2004,8.001,Hoop,Cp,4315584525,N,M,W,231,129,95,41,119,ALM,BMI,NULL,"TUMOR GROWTH ON CHEEKS",Karrmann
6/21/2004,8.002,Hoop,Cp,4315584525,R,M,W,237,129,100,40,118,ALM,BMI,NULL,"tumor on cheeks",Karrmann
7/2/2004,8.003,snrkl,Cp,4315584525,R,M,W,257,109,95,41,119,ALM,BMI,NULL,"Tumor on each side of cheek",Karrmann
7/5/2004,8.004,Hoop,Cp,4315584525,R,M,W,233,129,96,47,118,ALM,BMI,NULL,"tumor on each cheek turtle was trying to get into hoop trap- caught with hand net. Reset",Karrmann
7/12/2004,8.005,snrkl,Cp,4315584525,R,M,W,254,130,95,41,119,ALM,BMI,NULL,"L1? L9/10? Lumps on cheek",Karrmann
7/24/2004,8.006,bask-m,Cp,4315584525,R,M,W,241,130,95,41,120,ALM,BMI,NULL,MUMPS,Karrmann
8/7/2004,8.007,Hoop,Cp,4315584525,R,M,W,245,130,95,41,119,ALM,BMI,NULL,MUMPS,Karrmann
8/24/2004,8.008,bask-m,Cp,4315584525,R,M,-,242,127,94,41,117,ALM,BMI,NULL,"Growth on cheeks",Munson
9/1/2004,8.009,bask-m,Cp,4315584525,R,M,W,245,129,95,41,128,ALM,BMI,NULL,NULL,Karrmann
9/16/2004,8.01,bask-m,Cp,4315584525,R,M,W,242,128,94,41,118,ALM,BMI,NULL,"Notch between L9-10 may be natural; mumps",Karrmann
7/18/2006,8.011,Hoop,Cp,4315584525,R,M,A,250,129,94,40,120,ALM,"Dam -- NW Corner",NULL,"Growth on upper right side of head",NULL
7/15/2008,8.012,Hoop,Cp,4315584525,R,M,A,250,129,94,41,119,ALM,Dam,NULL,NULL,NULL
5/25/2010,8.013,Hoop,Cp,4315584525,R,NULL,NULL,242,130,93,40,118,ALM,Cove,NULL,NULL,"NYU-ECE w/ MM"
6/15/2010,8.014,Hoop,Cp,4315584525,R,M,W,247,127,94,40,116,ALM,Cove,NULL,NULL,MV
6/22/2010,8.015,Hoop,Cp,4315584525,R,M,W,247,123,93,39,118,ALM,Cove,NULL,NULL,WS
6/23/2010,8.016,Hoop,Cp,4315584525,R,M,W,256,128,92,40,117,ALM,"Dam Cove",NULL,NULL,"MV- KP"
6/26/2010,8.017,Hoop,Cp,4315584525,R,M,W,249,130,93,39,118,ALM,Cove,NULL,"scar- front right plastron","MV- JB"
7/7/2010,8.018,Hoop,Cp,4315584525,R,M,W,244,129,94,41,117,ALM,"Dam Cove",NULL,"9/10 not real notch","MV- JB"
7/14/2010,8.019,Hoop,Cp,4315584525,R,M,W,255,127,95,40,119,ALM,"Dam Cove",NULL,NULL,"MV- WS- MM"
7/29/2010,8.02,Hoop,Cp,4315584525,R,M,W,258,132,96,43,119,ALM,Damside,NULL,NULL,NULL
6/10/2011,8.021,Hoop,Cp,4315584525,R,M,W,242,129,92,40,115,ALM,damside,NULL,NULL,"MV- JS- RC- KP- SG"
6/17/2011,8.022,Hoop,Cp,4315584525,R,M,W,242,129,92,40,115,ALM,damside,NULL,NULL,"MV- JS. SG"
6/22/2011,8.023,Hoop,Cp,4315584525,R,M,W,249,129,95,41,119,ALM,dock,NULL,NULL,"MV- PW"
7/13/2011,8.024,Hoop,Cp,4315584525,R,M,W,268,128,92,41,122,ALM,"sweet spot",NULL,NULL,MM
9/15/2002,9.001,bask-p,Cp,4315621050,N,M,NULL,120,94,74,34,93,ALM,BMI,NULL,"PIT added 15 AUG 03",Karrmann
5/10/2003,9.002,Hoop,Cp,4315621050,R,M,NULL,115,94,74,34,93,ALM,"Swamp Trail Inlet",NULL,"PIT added 15 AUG 03",Karrmann
7/19/2003,9.003,Hoop,Cp,4315621050,R,M,5+,127,96,75,35,94,ALM,BMI,NULL,NULL,"Karrmann\ Schuster"
5/15/2004,9.004,Hoop,Cp,4315621050,R,M,5+,115,95,75,35,94,ALM,DAM,NULL,picture,Karrmann
6/13/2004,9.005,Hoop,Cp,4315621050,R,M,W,119,96,75,35,95,ALM,BMI,NULL,NULL,Karrmann
7/15/2008,9.006,Hoop,Cp,4315621050,R,M,A,197,104,76,36,101,ALM,Dam,NULL,NULL,NULL
5/25/2010,9.007,Hoop,Cp,4315621050,R,M,W,164,107,80,38,104,ALM,"Boat Launch",NULL,NULL,"NYU-ECE w/ MM"
6/22/2010,9.008,Hoop,Cp,4315621050,R,M,W,162,105,78,35,103,ALM,"Dam Cove",NULL,NULL,WS
7/14/2010,9.009,Hoop,Cp,4315621050,R,M,W,157,108,80,38,128,ALM,"by beach",NULL,"leech on shell- aggressive",MM
6/10/2011,9.01,Hoop,Cp,4315621050,R,M,6,170,110,80,38,105,ALM,dock,NULL,NULL,"RC- KP- SG"
6/15/2011,9.011,Hoop,Cp,4315621050,R,M,3+,168,107,82,37,103,ALM,dock,NULL,"chip btw 8 and 9","MV- JS. SG"
6/22/2011,9.012,Hoop,Cp,4315621050,R,M,NULL,174,108,82,37,105,ALM,dock,NULL,NULL,"MV- PW"
7/17/2014,9.013,NULL,Cp,4315621050,R,M,NULL,185,115,80,40,110,NULL,NE,Catfood,NULL,"EM- SSC"
7/22/2014,9.014,NULL,Cp,4315621050,R,M,NULL,175,113,80,39,111,NULL,E,Catfood,NULL,"EM- SSC"
6/17/1996,10.001,Hoop,Cp,4315643501,N,M,NULL,NULL,93,78,NULL,NULL,ALM,"Swamp Trail Inlet",NULL,"PIT added 12 OCT 03",Brady
6/24/1997,10.002,Hoop,Cp,4315643501,R,M,3,120,NULL,NULL,NULL,91,ALM,NULL,NULL,"too small for PIT PIT added 12 OCT 03",McKinsey
9/7/2002,10.003,bask-p,Cp,4315643501,R,M,W,153,108,86,36,99,ALM,BMI,NULL,"Notches old and worn PIT added 12 OCT 03",Karrmann
9/28/2003,10.004,Hoop,Cp,4315643501,R,M,W,160,109,87,37,100,ALM,BMI,NULL,"ventral margin VERY RED",Karrmann
8/3/2004,10.005,bask-p,Cp,4315643501,R,M,W,157,110,88,40,101,ALM,BMI,NULL,NULL,Karrmann
8/14/2004,10.006,Hoop,Cp,4315643501,R,M,W,153,110,88,36,102,ALM,BMI,NULL,"VERY OLD SAW NOTCH",Karrmann
6/15/2010,10.007,Hoop,Cp,4315643501,R,M,W,183,115,90,37,135,ALM,Cove,NULL,NULL,MV
7/14/2010,10.008,Hoop,Cp,4315643501,R,M,J,189,115,90,37,105,ALM,"Dam Cove",NULL,NULL,"MV- WS- MM"
7/29/2010,10.009,Hoop,Cp,4315643501,R,M,W,181,116,93,38,108,ALM,Damside,NULL,NULL,NULL
6/23/2011,10.01,Hoop,Cp,4315643501,R,M,W,191,116,100,37,106,ALM,dock,NULL,NULL,"MV- RC"
7/27/2011,10.011,Hoop,Cp,4315643501,R,M,W,196,120,92,39,109,ALM,damside,NULL,shedding,"MV- CR"
9/7/2002,11.001,bask-p,Cp,4360043543,N,M,W,218,116,89,42,110,ALM,BMI,NULL,"R7 old and worn- added L11 and R8",Karrmann
9/29/2002,11.002,bask-p,Cp,4360043543,R,M,NULL,223,114,88,42,109,ALM,BMI,NULL,NULL,Holmes
6/21/2004,11.003,Hoop,Cp,4360043543,R,M,W,203,117,92,42,112,ALM,BMI,NULL,NULL,Karrmann
7/9/2004,11.004,snrkl,Cp,4360043543,R,M,W,228,117,91,42,112,ALM,BMI,NULL,"A turtle was basking before entering into the trap",Karrmann
8/24/2004,11.005,bask-m,Cp,4360043543,R,M,-,217,115,91,41,110,ALM,BMI,NULL,NULL,Munson
7/22/2006,11.006,Hoop,Cp,4360043543,R,M,W,218,117,91,44,111,ALM,NULL,NULL,"Slight Purple Plastron","WS - Team Turtle"
7/20/2011,11.007,Hoop,cpp,4360043543,R,M,worn,235,123,95,43,116,SUT,"far side",NULL,NULL,"MV- SG"
7/24/2014,12.001,NULL,Cp,4676336455,N,M,NULL,220,121,85,40,118,NULL,E,Catfood,NULL,"EM- SSC"
7/16/2015,12.002,Hoop,Cp,4676336455,R,M,NULL,223,120,86,37,116,ALM,NULL,NULL,"cloaca - 18.55- Tail - 51.49",NULL
7/17/2015,12.003,Hoop,Cp,4676336455,R,M,NULL,220,120,86,39,117,ALM,East,NULL,"2015 - recorded as Css",NULL
7/17/2014,13.001,NULL,Cp,4676441600,N,M,NULL,300,142,102,45,130,NULL,NE,Catfood,"   ","EM- SSC"
7/23/2014,13.002,NULL,Cp,4676441600,R,M,NULL,305,139,100,45,130,NULL,E,Tuna,NULL,"EM- SSC"
7/9/2015,13.003,Hoop,Cp,4676441600,R,M,NULL,310,140,100,403,130,ALM,East,NULL,Catfood,SSC
7/16/2015,13.004,Hoop,Cp,4676441600,R,M,NULL,230,138,100,43,126,ALM,NW,NULL,"cloaca - 24.00- Tail - 55.18",NULL
8/25/2015,13.005,Hoop,Cp,4676441600,R,M,A,214,100,139,NULL,125,ALM,NULL,NULL,Hisses,NULL
8/27/2015,13.006,Hoop,Cp,4676441600,R,M,A,NULL,NULL,NULL,NULL,NULL,ALM,NULL,NULL,"Recapture 8/25",NULL
6/10/2011,14.001,Hoop,Cp,4676466457,N,M,3,143,101,81,35,96,ALM,damside,NULL,NULL,"MV- JS- RC- KP- SG"
7/7/2010,15.001,Hoop,Cp,4676551175,N,M,3+,176,109,86,38,102,UPR,"fallen tree",NULL,NULL,NULL
7/29/2010,16.001,Hoop,Cp,4679400714,N,F,W,415,150,109,53,138,SUT,"by flat rock",NULL,"hissing & snapping; very aggressive- shedding",NULL
7/13/2011,16.002,Hoop,cpp,4679400714,R,F,worn,301,150,110,53,139,SUT,dock,NULL,aggressive,"MV- MM"
7/14/2011,16.003,Hoop,cpp,4679400714,R,F,worn,301,150,110,53,139,SUT,"far side",NULL,NULL,"MV- RC"
7/20/2011,16.004,Hoop,cpp/m,4679400714,R,F,worn,416,147,105,52,137,SUT,"far side",NULL,aggressive,"MV- SG"
7/8/2015,16.005,Hoop,Cp,4679400714,R,F,NULL,420,148,106,51,136,ART,East,NULL,Sardines,SSC
7/17/2015,16.006,Hoop,Cp,4679400714,R,F,10+,433,149,102,52,137,NULL,NULL,NULL,"cloaca - 10.34- Tail - 46.25",NULL
7/22/1997,17.001,Hoop,Cp,113663532A,N,M,5,180,NULL,NULL,NULL,104,ALM,NULL,NULL,NULL,McKinsey
