Date,Turtle,Loc_ID,Profile_ID,Size_ID,R_ID,Cap_ID,Pit_ID
8/11/2003,1.001,1,1,1,1,1,4310552857
7/2/2004,1.002,2,2,2,2,2,4310552857
8/3/2004,1.003,2,3,3,3,3,4310552857
9/16/2004,1.004,2,1,4,2,3,4310552857
8/24/2003,2.001,3,4,5,4,4,4311124528
8/7/2004,2.002,2,4,6,5,5,4311124528
9/16/2004,2.003,2,4,7,6,2,4311124528
9/26/2004,2.004,2,4,8,7,2,4311124528
9/28/2002,3.001,2,4,9,8,1,4315311868
5/10/2003,3.002,4,4,10,9,2,4315311868
7/22/2006,3.003,5,4,11,10,6,4315311868
8/29/2006,3.004,5,5,12,11,6,4315311868
8/24/2003,4.001,3,6,13,12,4,4315371352
6/10/2011,5.001,6,7,14,13,6,4315387901
7/25/2003,6.001,2,2,15,9,7,4315562674
8/5/2008,6.002,7,8,16,14,6,4315562674
5/25/2010,6.003,7,9,17,15,6,4315562674
8/3/2003,7.001,8,10,18,16,8,4315566217
7/24/2013,7.002,9,11,19,17,6,4315566217
6/13/2004,8.001,2,2,20,18,7,4315584525
6/21/2004,8.002,2,2,21,19,6,4315584525
7/2/2004,8.003,2,2,22,20,5,4315584525
7/5/2004,8.004,2,2,23,21,6,4315584525
7/12/2004,8.005,2,2,24,22,5,4315584525
7/24/2004,8.006,2,2,25,23,3,4315584525
8/7/2004,8.007,2,2,26,23,6,4315584525
8/24/2004,8.008,2,12,27,24,3,4315584525
9/1/2004,8.009,2,2,28,9,3,4315584525
9/16/2004,8.01,2,2,29,25,3,4315584525
7/18/2006,8.011,10,8,30,26,6,4315584525
7/15/2008,8.012,11,8,31,14,6,4315584525
5/25/2010,8.013,7,9,32,15,6,4315584525
6/15/2010,8.014,7,2,33,27,6,4315584525
6/22/2010,8.015,7,2,34,28,6,4315584525
6/23/2010,8.016,12,2,35,29,6,4315584525
6/26/2010,8.017,7,2,36,30,6,4315584525
7/7/2010,8.018,12,2,37,31,6,4315584525
7/14/2010,8.019,12,2,38,32,6,4315584525
7/29/2010,8.02,13,2,39,14,6,4315584525
6/10/2011,8.021,14,2,40,33,6,4315584525
6/17/2011,8.022,14,2,40,34,6,4315584525
6/22/2011,8.023,6,2,41,35,6,4315584525
7/13/2011,8.024,15,2,42,36,6,4315584525
9/15/2002,9.001,2,11,43,37,1,4315621050
5/10/2003,9.002,16,11,44,37,6,4315621050
7/19/2003,9.003,2,1,45,38,6,4315621050
5/15/2004,9.004,17,1,46,39,6,4315621050
6/13/2004,9.005,2,2,47,9,6,4315621050
7/15/2008,9.006,11,8,48,14,6,4315621050
5/25/2010,9.007,18,2,49,15,6,4315621050
6/22/2010,9.008,12,2,50,28,6,4315621050
7/14/2010,9.009,19,2,51,40,6,4315621050
6/10/2011,9.01,6,13,52,41,6,4315621050
6/15/2011,9.011,6,14,53,42,6,4315621050
6/22/2011,9.012,6,11,54,35,6,4315621050
7/17/2014,9.013,20,11,55,43,9,4315621050
7/22/2014,9.014,21,11,56,43,9,4315621050
6/17/1996,10.001,16,11,57,44,7,4315643501
6/24/1997,10.002,5,15,58,45,6,4315643501
9/7/2002,10.003,2,2,59,46,2,4315643501
9/28/2003,10.004,2,2,60,47,6,4315643501
8/3/2004,10.005,2,2,61,9,2,4315643501
8/14/2004,10.006,2,2,62,48,6,4315643501
6/15/2010,10.007,7,2,63,27,6,4315643501
7/14/2010,10.008,12,16,64,32,6,4315643501
7/29/2010,10.009,13,2,65,14,6,4315643501
6/23/2011,10.01,6,2,66,49,6,4315643501
